DATE,INFLASI,PENGANGGURAN,SUKU BUNGA,NILAI TUKAR,GDP,KONSUMSI RT,UANG BEREDAR,KOMODITAS
1991-01-01,9.41905827724146,7.866,19.3125,120.91134166666666,1556.80666351962,0.2178404331207275,125.71635,120.40732
1992-01-01,7.52351717022748,8.242,15.9875,117.32148333333332,1629.84797824665,0.2237464338541031,152.27847,145.69782
1993-01-01,9.67189338180118,8.565,10.6175,121.661275,1706.95236458804,0.2413917332887649,181.95688,162.83676
1994-01-01,8.53200525418847,13.108,10.294166666666666,120.98270833333332,1805.60388533425,0.2590069472789764,220.98952,183.17008
1995-01-01,9.42032321644615,14.013,14.111666666666666,117.086225,1922.35211804745,0.2722171545028686,275.78751,216.36225
1996-01-01,7.97328085611417,14.951,13.819166666666666,125.827775,2039.36298877492,0.2841469347476959,353.57927,246.89667
1997-01-01,6.22614163387588,14.958,14.4975,119.33804666666666,2101.25414945916,0.2494379878044128,444.80514,329.78977
1998-01-01,58.4510444723947,16.757,49.32416666666666,57.422148333333325,1797.08392181585,0.1303824633359909,721.26562,1047.66752
1999-01-01,20.47783111264,19.296,23.1425,84.40435,1784.333594699,0.2086322605609893,878.11757,803.19346
2000-01-01,3.68861915958352,19.177,12.546666666666667,82.13429333333333,1845.22780072703,0.1924492418766021,964.96506,1111.08672
2001-01-01,11.5001148791768,19.065,16.61583333333333,78.92044416666666,1885.67975137695,0.1851730495691299,1106.87364,1225.81781
2002-01-01,11.9001175663778,21.476,14.9475,95.79572666666665,1943.64492790634,0.2329643219709396,1195.0211,1122.91221
2003-01-01,6.75731719362853,21.486,9.9425,103.119,2009.48978395399,0.2714242339134216,1271.7775,1110.35682
2004-01-01,6.06405988526521,23.678,7.445,98.46750833333331,2083.8825089787,0.2773380279541015,1363.03796,1355.02681
2005-01-01,10.4531984193865,26.381,9.12,96.98452416666666,2174.91522148966,0.2811218202114105,1539.77044,1761.39542
2006-01-01,13.1086720985296,24.7,11.833333333333332,111.86300833333333,2264.93573330974,0.3240066766738891,1777.81942,1955.00527
2007-01-01,6.40656281325701,22.931,8.604166666666666,110.83233333333332,2377.25499297081,0.3521339297294616,2061.17394,2206.95559
2008-01-01,10.2266645473148,19.703,8.666666666666666,105.71186666666667,2487.61129660703,0.3545323610305786,2398.51127,2793.71711
2009-01-01,4.38641555014731,19.176,7.145833333333333,104.8276575,2569.87421261278,0.3288184702396393,2779.52881,2525.86954
2010-01-01,5.13420400767928,17.755,6.5,116.404725,2695.86817007214,0.3727819621562958,3118.58828,3030.02999
2011-01-01,5.3560477898215,18.474,6.583333333333333,115.39498333333331,2826.48044072348,0.3874143958091736,3617.43537,3776.94115
2012-01-01,4.27949999641975,15.744,5.770833333333333,110.32830833333333,2959.5144781668,0.371323823928833,4286.01539,3782.40441
2013-01-01,6.41251330156418,16.047,6.479166666666666,105.29295083333332,3086.32311695224,0.3650567233562469,4875.92939,4048.31478
2014-01-01,6.39492540819922,16.046,7.520833333333333,98.54133416666666,3203.48428702077,0.3486884236335754,5435.23566,4433.43575
2015-01-01,6.36312113115612,17.282,7.520833333333333,100.00000000000001,3322.58167895444,0.3333272039890289,6130.82879,4264.57234
2016-01-01,3.5258051568793,16.039,6.0,104.89136666666666,3453.04943030511,0.3540285527706146,6610.27972,4072.09194
2017-01-01,3.80879806953157,14.583,4.5625,106.52925,3591.78002845926,0.3737134933471679,7264.23235,4785.58584
2018-01-01,3.1983464156241,16.394,5.104166666666666,100.04296916666667,3741.30526682049,0.3631286025047302,7763.73949,5426.80081
2019-01-01,3.03058664969487,13.592,5.625,104.66610833333333,3892.42166187369,0.3770860135555267,8288.60098,5021.94075
2020-01-01,1.9209680056685,14.783,4.25,102.91864416666667,3780.12163441585,0.2942521957487896,9175.01768,5029.24974
2021-01-01,1.56012990525673,13.81,3.520833333333333,101.06556416666666,3892.95599990599,0.2942521957487896,10104.78893,6997.89986
2022-01-01,4.20946383402165,14.053,4.0,102.94099166666666,4073.55834962073,0.2942521957487896,11171.43058,9178.3699
2023-01-01,3.67013142377007,13.936,5.8125,103.59534333333332,4247.85315520073,0.2942521957487896,3364.221815,8363.89478
