DATE,PLCCPPIDA670NRUG
1989-01-01,0.20804239809513092
1990-01-01,0.2084355503320694
1991-01-01,0.21784043312072754
1992-01-01,0.2237464338541031
1993-01-01,0.24139173328876495
1994-01-01,0.25900694727897644
1995-01-01,0.27221715450286865
1996-01-01,0.2841469347476959
1997-01-01,0.24943798780441284
1998-01-01,0.1303824633359909
1999-01-01,0.20863226056098938
2000-01-01,0.19244924187660217
2001-01-01,0.18517304956912994
2002-01-01,0.23296432197093964
2003-01-01,0.27142423391342163
2004-01-01,0.27733802795410156
2005-01-01,0.2811218202114105
2006-01-01,0.32400667667388916
2007-01-01,0.35213392972946167
2008-01-01,0.3545323610305786
2009-01-01,0.3288184702396393
2010-01-01,0.3727819621562958
2011-01-01,0.3874143958091736
2012-01-01,0.371323823928833
2013-01-01,0.36505672335624695
2014-01-01,0.34868842363357544
2015-01-01,0.33332720398902893
2016-01-01,0.3540285527706146
2017-01-01,0.37371349334716797
2018-01-01,0.3631286025047302
2019-01-01,0.37708601355552673
